,6months_cluster_1,6months_cluster_2,6months_cluster_3,6months_cluster_4
72,0.008745306964915966,0.1488882595773288,0.063666675002982,0.12761460574133732
73,0.00938273014758525,0.1546314446224817,0.06319000402497703,0.12909039390763577
74,0.01011103633773879,0.1606177200654899,0.06278305080447227,0.1306916528499394
75,0.010909014330896557,0.16664633252423083,0.06238942912575058,0.13232922745110312
76,0.011746099314519658,0.17249133431567593,0.061955612710524764,0.13390129726078545
77,0.012585523587775706,0.17791998727172548,0.06143424936679502,0.13529973085892097
78,0.013388415048075235,0.18271598288460641,0.060787405884213046,0.13641916397331239
79,0.014119332403950326,0.18670146397360854,0.05998902345737277,0.13716802151047244
80,0.01475046244278901,0.1897555443948585,0.059026415462290954,0.13747955130749667
81,0.015265111650468753,0.19182561743263307,0.057900829510682206,0.13731993785383642
