,area,shift 1,shift 2,shift 3,shift 4,shift 5,shift 6,shift 7,shift 8,shift 9,shift 10,shift 11,shift 12,shift 13,shift 14,shift 15,shift 16,shift 17,shift 18,shift 19,shift 20,shift 21,shift 22,shift 23,shift 24,shift 25,shift 26,shift 27,shift 28,shift 29,shift 30,shift 31,shift 32,shift 33,shift 34,shift 35,shift 36,labels
95,Namibia,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,7,8,4,5,5,5,5,5,7,8,8,8,8,4,7,8,8,8,-1,-1,-1,0
96,Nepal,0,0,0,0,0,0,0,0,0,1,5,5,5,2,1,5,5,5,5,7,8,8,8,4,5,5,5,5,2,0,0,0,1,-1,-1,-1,0
97,Netherlands - Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,8,8,8,8,8,8,8,8,4,5,5,7,8,8,-1,-1,-1,-1,-1,1
98,Netherlands,0,0,0,0,1,5,7,8,4,5,5,5,5,2,0,1,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,0
99,Nigeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,2,0,0,0,-1,-1,-1,-1,-1,4
100,North Macedonia,0,0,0,0,1,5,5,5,5,5,7,8,8,8,8,8,4,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,0
101,Norway,0,0,0,1,5,5,5,5,2,0,0,0,0,0,1,5,5,5,5,5,7,8,8,8,8,8,8,4,5,7,8,8,-1,-1,-1,-1,0
102,Oman,0,0,0,0,0,1,5,5,5,7,8,8,8,8,8,4,5,7,8,8,8,8,4,5,5,5,5,5,5,7,8,8,-1,-1,-1,-1,1
103,Pakistan,0,0,0,0,0,0,0,1,5,5,5,5,5,2,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,-1,-1,-1,-1,-1,0
104,Panama,0,0,0,0,1,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,-1,1
105,Papua New Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,-1,-1,-1,-1,-1,-1,4
106,Paraguay,0,0,0,0,0,0,0,0,1,2,0,0,1,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,1
107,Peru,0,0,0,0,0,1,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,5,5,7,8,8,8,8,8,-1,-1,-1,-1,-1,2
108,Philippines,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,-1,-1,-1,-1,-1,-1,1
109,Poland,0,0,0,0,0,1,5,5,5,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,0
110,Portugal,0,0,0,0,1,7,8,4,5,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,4,5,-1,-1,-1,-1,1
111,Qatar,0,0,0,0,1,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,4,5,7,8,8,8,8,8,8,-1,-1,-1,-1,2
112,Romania,0,0,0,0,0,1,5,5,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,1
113,Russia,0,0,0,0,0,1,5,7,8,8,8,4,5,5,5,5,5,5,7,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,0
